Submission id,Participant id,Status,Custom study tncs accepted at,Started at,Completed at,Reviewed at,Archived at,Time taken,Completion code,Total approvals,Age,Sex,Ethnicity simplified,Country of birth,Country of residence,Nationality,Language,Student status,Employment status
697ce9719bf2be9d8438b0ab,5d01a8cb892f670015312e1a,APPROVED,Not Applicable,2026-01-30T17:25:43.282000Z,2026-01-30T17:56:03.986000Z,2026-01-30T17:56:04.481000Z,2026-01-30T17:56:04.409557Z,1821.0,CO8XZAGN,1054,43,Male,White,Canada,Canada,Canada,English,No,Full-Time
697ce972f154c60b83b5acf6,69775fc9eb79f0b639cc0162,RETURNED,Not Applicable,2026-01-30T17:25:06.279000Z,,,2026-01-31T03:56:48.990937Z,,,14,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697ce9749591d44a847b0bde,5c6d6cb88cafb60001a88138,RETURNED,Not Applicable,2026-01-30T17:25:08.001000Z,,,2026-01-31T03:56:48.991814Z,,,1657,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697ce97dae5a3ae948e11488,5dd55652f30aa650f027e1c2,RETURNED,Not Applicable,2026-01-30T17:25:20.541000Z,,,2026-01-31T03:56:48.993333Z,,,10880,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697ce97ebb6f36fa452d83c1,696a7dc3d85d409269fbccad,APPROVED,Not Applicable,2026-01-30T17:25:25.035000Z,2026-01-30T18:06:48.956000Z,2026-01-30T18:06:49.408000Z,2026-01-30T18:06:49.321151Z,2484.0,CO8XZAGN,60,27,Male,Black,Cameroon,Canada,Cameroon,French,No,Unemployed (and job seeking)
697ce9810f53f5d87f619341,5ec6fb5376e1ca14198c2dd4,APPROVED,Not Applicable,2026-01-30T17:25:24.660000Z,2026-01-30T17:55:32.356000Z,2026-01-30T17:55:35.746000Z,2026-01-30T17:55:32.748804Z,1808.0,CO8XZAGN,1099,32,Male,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
697ce984ea1fd6c224023c99,616096596608d533190db076,APPROVED,Not Applicable,2026-01-30T17:29:57.724000Z,2026-01-30T18:16:46.604000Z,2026-01-30T18:16:47.805000Z,2026-01-30T18:16:46.999227Z,2809.0,CO8XZAGN,160,39,Male,Black,South Africa,South Africa,South Africa,English,Yes,Full-Time
697ce986423f0035dd064d84,697cade8dd8697d6f1adbcfe,RETURNED,Not Applicable,2026-01-30T17:36:00.011000Z,,,2026-01-31T03:56:48.995318Z,,,0,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697ce986be09110479ce2e45,5b68c9eb87af310001584803,APPROVED,Not Applicable,2026-01-30T17:25:33.606000Z,2026-01-30T18:10:52.517000Z,2026-01-30T18:10:52.972000Z,2026-01-30T18:10:52.887636Z,2719.0,CO8XZAGN,7693,29,Male,Asian,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697ce98a335a0e0888666d35,69764161246023549d653412,APPROVED,Not Applicable,2026-01-30T17:25:37.076000Z,2026-01-30T18:12:13.440000Z,2026-01-30T18:12:13.898000Z,2026-01-30T18:12:13.815408Z,2797.0,CO8XZAGN,26,30,Male,White,United States,United States,DATA_EXPIRED,English,No,Part-Time
697ce98a409878234c983031,697cb02577c2724df1ff0367,APPROVED,Not Applicable,2026-01-30T17:25:37.517000Z,2026-01-30T18:02:45.690000Z,2026-01-30T18:02:48.515000Z,2026-01-30T18:02:46.059614Z,2229.0,CO8XZAGN,3,18,Female,Asian,Vietnam,Ireland,Vietnam,English,Yes,Unemployed (and job seeking)
697ce98f9a75c09fb05f3f73,64a9858be9b52e570ffb3c1e,APPROVED,Not Applicable,2026-01-30T17:25:35.800000Z,2026-01-30T18:41:35.318000Z,2026-01-30T18:41:37.054000Z,2026-01-30T18:41:35.693521Z,4560.0,CO8XZAGN,3645,68,Female,White,United Kingdom,United Kingdom,United Kingdom,English,No,Part-Time
697ce9b168aa4cd546f278bf,62aa591a476ebabe28612a92,APPROVED,Not Applicable,2026-01-30T17:26:09.981000Z,2026-01-30T17:55:39.859000Z,2026-01-30T17:55:42.521000Z,2026-01-30T17:55:40.235547Z,1770.0,CO8XZAGN,4230,36,Male,White,United Kingdom,United Kingdom,United Kingdom,English,No,Full-Time
697ce9b5a9e7b861f722a6fb,60578554d37e889bb7ff2c89,RETURNED,Not Applicable,2026-01-30T17:37:00.021000Z,,,2026-01-31T03:56:48.997248Z,,,137,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697ce9b6698dc9f0b71efb73,6966a2f7546840bf7736d2cf,APPROVED,Not Applicable,2026-01-30T17:32:30.971000Z,2026-01-30T18:09:30.118000Z,2026-01-30T18:09:30.566000Z,2026-01-30T18:09:30.489604Z,2220.0,CO8XZAGN,52,26,Male,Asian,China,Italy,China,Chinese,Yes,Unemployed (and job seeking)
697ce9bb5402aaeb2a2d9cce,6669619a0242e7f6c9c37d55,TIMED-OUT,Not Applicable,2026-01-30T17:26:37.032000Z,,,2026-01-31T03:56:48.997033Z,37812.0,,115,39,Male,Mixed,South Africa,South Africa,South Africa,English,Yes,Other
697ce9c886663c08d1cea1bf,6017e8accecc00a808444587,RETURNED,Not Applicable,2026-01-30T17:28:36.011000Z,,,2026-01-31T03:56:48.999241Z,,,256,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697ce9d47163f852e87adb92,5b25b16e34ffd00001b43e24,APPROVED,Not Applicable,2026-01-30T17:36:36.487000Z,2026-01-30T18:33:12.158000Z,2026-01-30T18:33:14.462000Z,2026-01-30T18:33:12.577265Z,3396.0,CO8XZAGN,2202,34,Male,Mixed,United States,United States,United States,English,DATA_EXPIRED,DATA_EXPIRED
697ce9ec8278ab79a9119b75,6646cdbd7a8e4d39556e459b,APPROVED,Not Applicable,2026-01-30T17:27:16.435000Z,2026-01-30T17:53:15.325000Z,2026-01-30T17:53:15.860000Z,2026-01-30T17:53:15.720687Z,1559.0,CO8XZAGN,4823,37,Female,White,United States,United States,United States,English,No,Full-Time
697ce9fccd813a6451e1146d,5f9c2359530d3e067a300bd6,APPROVED,Not Applicable,2026-01-30T17:27:24.601000Z,2026-01-30T18:10:46.753000Z,2026-01-30T18:10:47.204000Z,2026-01-30T18:10:47.134133Z,2603.0,CO8XZAGN,927,23,Female,White,Portugal,Portugal,Portugal,Portuguese,No,Full-Time
697ce9fe527d6e20a3a7afe5,6773f2c6f59707888206bdd1,RETURNED,Not Applicable,2026-01-30T17:29:33.532000Z,,,2026-01-31T03:56:49.002715Z,,,573,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
697cea6dd9c1f27311b13d0f,612bb0cdecc9e45781bbf511,RETURNED,Not Applicable,2026-01-30T17:29:21.916000Z,,,2026-01-31T03:56:49.001446Z,,,11723,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED,CONSENT_REVOKED
